Player,Team,K Rank,wk 1,wk 2,wk 3,wk 4,wk 5,wk 6,wk 7,wk 8
Matt Bryant,ATL,9.25,10.0,9.0,8.0,11.0,11.0,6.0,10.0,9.0
Caleb Sturgis,PHI,9.142857142857142,8.0,10.0,10.0,BYE,11.0,7.0,7.0,11.0
Adam Vinatieri,IND,9.125,9.0,8.0,8.0,9.0,17.0,11.0,9.0,2.0
Justin Tucker,BAL,8.857142857142858,7.0,11.0,13.0,7.0,4.0,11.0,9.0,BYE
Dan Bailey,DAL,8.571428571428571,13.0,9.0,6.0,5.0,4.0,12.0,BYE,11.0
Josh Lambo,SD,8.5,8.0,8.0,8.0,10.0,7.0,13.0,15.0,-1.0
Dustin Hopkins,WAS,8.5,10.0,11.0,17.0,7.0,3.0,9.0,4.0,7.0
Mason Crosby,GB,7.714285714285714,9.0,2.0,10.0,BYE,11.0,10.0,6.0,6.0
Brandon McManus,DEN,7.625,3.0,12.0,4.0,9.0,10.0,6.0,9.0,8.0
Nick Novak,HOU,7.5,11.0,12.0,0.0,7.0,6.0,7.0,9.0,8.0
Wil Lutz,NO,7.285714285714286,8.0,6.0,6.0,5.0,BYE,10.0,3.0,13.0
Cairo Santos,KC,7.285714285714286,9.0,12.0,4.0,1.0,BYE,6.0,8.0,11.0
Steven Hauschka,SEA,6.857142857142857,5.0,3.0,13.0,9.0,BYE,6.0,5.0,7.0
Sebastian Janikowski,OAK,6.75,7.0,3.0,5.0,4.0,13.0,3.0,15.0,4.0
Mike Nugent,CIN,6.625,10.0,10.0,5.0,16.0,1.0,5.0,5.0,1.0
Matt Prater,DET,6.625,6.0,7.0,8.0,6.0,6.0,7.0,7.0,6.0
Stephen Gostkowski,NE,6.5,11.0,6.0,9.0,-1.0,6.0,8.0,2.0,11.0
Jason Myers,JAC,6.428571428571429,11.0,1.0,4.0,12.0,BYE,5.0,10.0,2.0
Graham Gano,CAR,6.428571428571429,7.0,14.0,3.0,4.0,1.0,5.0,BYE,11.0
Nick Folk,NYJ,6.375,8.0,13.0,3.0,5.0,7.0,3.0,5.0,7.0
Cody Parkey,CLE,6.0,OUT,OUT,6.0,8.0,1.0,8.0,5.0,8.0
Greg Zuerlein,LA,5.857142857142857,0.0,9.0,6.0,5.0,13.0,4.0,4.0,BYE
Ryan Succop,TEN,5.75,4.0,3.0,4.0,8.0,5.0,3.0,8.0,11.0
Blair Walsh,MIN,5.714285714285714,10.0,5.0,6.0,5.0,6.0,BYE,4.0,4.0
Phil Dawson,SF,5.571428571428571,4.0,9.0,3.0,5.0,3.0,10.0,5.0,BYE
Dan Carpenter,BUF,5.5,0.0,6.0,7.0,9.0,4.0,9.0,5.0,4.0
Andrew Franks,MIA,5.428571428571429,3.0,6.0,6.0,1.0,4.0,10.0,8.0,BYE
Chris Boswell,PIT,5.285714285714286,8.0,6.0,2.0,5.0,7.0,1.0,8.0,BYE
Connor Barth,CHI,5.25,2.0,0.0,5.0,4.0,10.0,10.0,3.0,8.0
Chandler Catanzaro,ARI,5.0,2.0,10.0,4.0,7.0,7.0,4.0,4.0,2.0
Robbie Gould,NYG,4.0,OUT,OUT,OUT,OUT,OUT,OUT,4.0,BYE
Roberto Aguayo,TB,4.0,7.0,0.0,1.0,1.0,7.0,BYE,9.0,3.0
 , 
Player,Team,QB Rank,wk 1,wk 2,wk 3,wk 4,wk 5,wk 6,wk 7,wk 8
Tom Brady,NE,82.0,OUT,OUT,OUT,OUT,100.4,87.00000000000001,59.00000000000001,81.6
Drew Brees,NO,78.22857142857143,107.80000000000001,53.4,86.6,41.400000000000006,BYE,112.0,85.80000000000001,60.6
Matt Ryan,ATL,75.225,77.39999999999999,93.8,59.6,117.0,54.60000000000001,73.4,52.800000000000004,73.19999999999999
Derek Carr,OAK,69.80000000000001,77.00000000000001,78.80000000000001,50.800000000000004,63.400000000000006,70.6,46.800000000000004,46.8,124.2
