team,QB rank,wk 12,wk 13,wk 14,wk 15,  ,team,RB rank,wk 12,wk 13,wk 14,wk 15,  ,team,WR rank,wk 12,wk 13,wk 14,wk 15,  ,team,TE rank,wk 12,wk 13,wk 14,wk 15,  ,team,K rank,wk 12,wk 13,wk 14,wk 15,  
DET,62.27499999999999,MIN -  Sam Bradford Shaun Hill,NO -  Drew Brees,CHI -  Brian Hoyer Jay Cutler Matt Barkley,NYG -  Eli Manning,  ,SF,39.6,MIA -  Jay Ajayi Kenyan Drake Damien Williams,CHI -  Jordan Howard Jeremy Langford Ka'Deem Carey,NYJ -  Matt Forte Bilal Powell Troymaine Pope,ATL -  Devonta Freeman Tevin Coleman,  ,CHI,43.475,TEN -  Rishard Matthews Tajae Sharpe Kendall Wright Andre Johnson Harry Douglas Marc Mariani,SF -  Jeremy Kerley Torrey Smith Quinton Patton Rod Streater Aaron Burbridge Keshawn Martin,DET -  Marvin Jones Golden Tate Anquan Boldin Andre Roberts,GB -  Randall Cobb Davante Adams Jordy Nelson Ty Montgomery Jeff Janis Jared Abbrederis Trevor Davis,  ,CLE,18.849999999999998,NYG -  Will Tye Larry Donnell Jerell Adams,BYE,CIN -  C.J. Uzomah Tyler Kroft Tyler Eifert,BUF -  Charles Clay Nick O'Leary,  ,NYG,8.375,CLE -  Cody Parkey Patrick Murray,PIT -  Chris Boswell,DAL -  Dan Bailey,DET -  Matt Prater,  
CLE,61.72500000000001,NYG -  Eli Manning,BYE,CIN -  Andy Dalton,BUF -  Tyrod Taylor EJ Manuel,  ,PIT,35.62499999999999,IND -  Frank Gore Robert Turbin Josh Ferguson Jordan Todman,NYG -  Shane Vereen Rashad Jennings Orleans Darkwa Bobby Rainey Paul Perkins,BUF -  LeSean McCoy Mike Gillislee Jonathan Williams Jerome Felton Reggie Bush,CIN -  Jeremy Hill Giovani Bernard Rex Burkhead,  ,OAK,41.825,CAR -  Kelvin Benjamin Ted Ginn Corey Brown Devin Funchess,BUF -  Marquise Goodwin Robert Woods Greg Salas Walt Powell Sammy Watkins Justin Hunter Brandon Tate,KC -  Jeremy Maclin Chris Conley Tyreek Hill Albert Wilson De'Anthony Thomas Demarcus Robinson,SD -  Tyrell Williams Travis Benjamin Dontrelle Inman Keenan Allen Dexter McCluster Griff Whalen,  ,DET,16.075,MIN -  Kyle Rudolph Rhett Ellison MyCole Pruitt,NO -  Coby Fleener Josh Hill,CHI -  Zach Miller Logan Paulsen Ben Braunecker,NYG -  Will Tye Larry Donnell Jerell Adams,  ,JAC,8.0,BUF -  Dan Carpenter,DEN -  Brandon McManus,MIN -  Blair Walsh,HOU -  Nick Novak,  
OAK,61.62499999999999,CAR -  Cam Newton Derek Anderson Joe Webb,BUF -  Tyrod Taylor EJ Manuel,KC -  Alex Smith,SD -  Philip Rivers Kellen Clemens,  ,IND,35.224999999999994,PIT -  Le'Veon Bell DeAngelo Williams Fitzgerald Toussaint,NYJ -  Matt Forte Bilal Powell Troymaine Pope,HOU -  Lamar Miller Alfred Blue Jonathan Grimes Tyler Ervin,MIN -  Jerick McKinnon Matt Asiata Adrian Peterson Ronnie Hillman,  ,NYJ,41.5,NE -  Julian Edelman Chris Hogan Danny Amendola Malcolm Mitchell Matthew Slater,IND -  T.Y. Hilton Phillip Dorsett Chester Rogers Donte Moncrief Quan Bray Devin Street,SF -  Jeremy Kerley Torrey Smith Quinton Patton Rod Streater Aaron Burbridge Keshawn Martin,MIA -  Jarvis Landry Kenny Stills DeVante Parker Leonte Carroo Jakeem Grant,  ,CAR,15.325,OAK -  Clive Walford Mychal Rivera Lee Smith,SEA -  Jimmy Graham Luke Willson Brandon Williams Nick Vannett George Fant,SD -  Hunter Henry Antonio Gates Sean McGrath,WAS -  Jordan Reed Vernon Davis Niles Paul,  ,IND,7.875,PIT -  Chris Boswell,NYJ -  Nick Folk,HOU -  Nick Novak,MIN -  Blair Walsh,  
ATL,61.075,ARI -  Carson Palmer Drew Stanton,KC -  Alex Smith,LA -  Case Keenum,SF -  Blaine Gabbert Colin Kaepernick,  ,CLE,32.825,NYG -  Shane Vereen Rashad Jennings Orleans Darkwa Bobby Rainey Paul Perkins,BYE,CIN -  Jeremy Hill Giovani Bernard Rex Burkhead,BUF -  LeSean McCoy Mike Gillislee Jonathan Williams Jerome Felton Reggie Bush,  ,CLE,39.800000000000004,NYG -  Odell Beckham Sterling Shepard Victor Cruz Roger Lewis Dwayne Harris Tavarres King,BYE,CIN -  A.J. Green Brandon LaFell Tyler Boyd James Wright Alex Erickson Cody Core,BUF -  Marquise Goodwin Robert Woods Greg Salas Walt Powell Sammy Watkins Justin Hunter Brandon Tate,  ,ATL,14.799999999999999,ARI -  Jermaine Gresham Darren Fells Ifeanyi Momah Troy Niklas Hakeem Valles,KC -  Travis Kelce Demetrius Harris Ross Travis James O'Shaughnessy,LA -  Lance Kendricks Tyler Higbee Cory Harkey Temarrick Hemingway,SF -  Vance McDonald Garrett Celek Blake Bell Je'Ron Hamm,  ,CHI,7.625,TEN -  Ryan Succop,SF -  Phil Dawson,DET -  Matt Prater,GB -  Mason Crosby,  
IND,57.64999999999999,PIT -  Ben Roethlisberger Landry Jones,NYJ -  Ryan Fitzpatrick Geno Smith,HOU -  Brock Osweiler,MIN -  Sam Bradford Shaun Hill,  ,ATL,31.075000000000003,ARI -  David Johnson Chris Johnson Andre Ellington Stepfan Taylor,KC -  Spencer Ware Charcandrick West Jamaal Charles,LA -  Todd Gurley Benny Cunningham Malcolm Brown Chase Reynolds,SF -  Carlos Hyde Shaun Draughn DuJuan Harris Mike Davis,  ,MIA,39.3,SF -  Jeremy Kerley Torrey Smith Quinton Patton Rod Streater Aaron Burbridge Keshawn Martin,BAL -  Mike Wallace Steve Smith Breshad Perriman Kamar Aiken Chris Moore Devin Hester,ARI -  Larry Fitzgerald John Brown Michael Floyd Jaron Brown J.J. Nelson Brittan Golden,NYJ -  Brandon Marshall Quincy Enunwa Eric Decker Robby Anderson Charone Peake Jalin Marshall,  ,IND,14.525,PIT -  Jesse James Xavier Grimble David Johnson,NYJ -  Austin Seferian-Jenkins Brandon Bostick Kellen Davis Braedon Bowman,HOU -  C.J. Fiedorowicz Ryan Griffin Stephen Anderson,MIN -  Kyle Rudolph Rhett Ellison MyCole Pruitt,  ,SF,7.125,MIA -  Andrew Franks,CHI -  Connor Barth,NYJ -  Nick Folk,ATL -  Matt Bryant,  
NYJ,56.475,NE -  Tom Brady Jimmy Garoppolo Jacoby Brissett,IND -  Andrew Luck,SF -  Blaine Gabbert Colin Kaepernick,MIA -  Ryan Tannehill,  ,NO,31.0,LA -  Todd Gurley Benny Cunningham Malcolm Brown Chase Reynolds,DET -  Theo Riddick Ameer Abdullah Dwayne Washington Justin Forsett,TB -  Jacquizz Rodgers Charles Sims Peyton Barber Doug Martin Antone Smith Alan Cross,ARI -  David Johnson Chris Johnson Andre Ellington Stepfan Taylor,  ,NYG,38.699999999999996,CLE -  Terrelle Pryor Andrew Hawkins Corey Coleman Ricardo Louis Rashard Higgins Jordan Payton,PIT -  Antonio Brown Sammie Coates Eli Rogers Cobi Hamilton Darrius Heyward-Bey Markus Wheaton,DAL -  Cole Beasley Terrance Williams Dez Bryant Brice Butler Lucky Whitehead,DET -  Marvin Jones Golden Tate Anquan Boldin Andre Roberts,  ,OAK,14.4,CAR -  Greg Olsen Ed Dickson,BUF -  Charles Clay Nick O'Leary,KC -  Travis Kelce Demetrius Harris Ross Travis James O'Shaughnessy,SD -  Hunter Henry Antonio Gates Sean McGrath,  ,HOU,7.125,SD -  Josh Lambo,GB -  Mason Crosby,IND -  Adam Vinatieri,JAC -  Jason Myers,  
PIT,54.775,IND -  Andrew Luck,NYG -  Eli Manning,BUF -  Tyrod Taylor EJ Manuel,CIN -  Andy Dalton,  ,OAK,30.549999999999997,CAR -  Fozzy Whittaker Jonathan Stewart Cameron Artis-Payne,BUF -  LeSean McCoy Mike Gillislee Jonathan Williams Jerome Felton Reggie Bush,KC -  Spencer Ware Charcandrick West Jamaal Charles,SD -  Melvin Gordon Danny Woodhead Kenneth Farrow,  ,DET,38.65,MIN -  Stefon Diggs Adam Thielen Cordarrelle Patterson Charles Johnson Jarius Wright Laquon Treadwell,NO -  Brandin Cooks Michael Thomas Willie Snead Brandon Coleman Tommylee Lewis Jake Lampman,CHI -  Alshon Jeffery Eddie Royal Cameron Meredith Kevin White Josh Bellamy Deonte Thompson,NYG -  Odell Beckham Sterling Shepard Victor Cruz Roger Lewis Dwayne Harris Tavarres King,  ,CIN,13.65,BAL -  Dennis Pitta Crockett Gillmore Maxx Williams Darren Waller,PHI -  Zach Ertz Trey Burton Brent Celek,CLE -  Gary Barnidge Connor Hamlett Randall Telfer,PIT -  Jesse James Xavier Grimble David Johnson,  ,BUF,6.75,JAC -  Jason Myers,OAK -  Sebastian Janikowski,PIT -  Chris Boswell,CLE -  Cody Parkey Patrick Murray,  
SD,54.125,HOU -  Brock Osweiler,TB -  Jameis Winston,CAR -  Cam Newton Derek Anderson Joe Webb,OAK -  Derek Carr,  ,HOU,29.875,SD -  Melvin Gordon Danny Woodhead Kenneth Farrow,GB -  Eddie Lacy James Starks Don Jackson Knile Davis,IND -  Frank Gore Robert Turbin Josh Ferguson Jordan Todman,JAC -  T.J. Yeldon Chris Ivory Denard Robinson Corey Grant,  ,BAL,38.324999999999996,CIN -  A.J. Green Brandon LaFell Tyler Boyd James Wright Alex Erickson Cody Core,MIA -  Jarvis Landry Kenny Stills DeVante Parker Leonte Carroo Jakeem Grant,NE -  Julian Edelman Chris Hogan Danny Amendola Malcolm Mitchell Matthew Slater,PHI -  Jordan Matthews Nelson Agholor Dorial Green-Beckham Josh Huff,  ,PIT,13.2,IND -  Jack Doyle Dwayne Allen Erik Swoope,NYG -  Will Tye Larry Donnell Jerell Adams,BUF -  Charles Clay Nick O'Leary,CIN -  C.J. Uzomah Tyler Kroft Tyler Eifert,  ,DEN,6.75,KC -  Cairo Santos,JAC -  Jason Myers,TEN -  Ryan Succop,NE -  Stephen Gostkowski,  
CIN,52.75,BAL -  Joe Flacco,PHI -  Carson Wentz,CLE -  Cody Kessler Josh McCown Robert Griffin III Kevin Hogan,PIT -  Ben Roethlisberger Landry Jones,  ,WAS,29.55,DAL -  Ezekiel Elliott Alfred Morris Lance Dunbar Rod Smith,ARI -  David Johnson Chris Johnson Andre Ellington Stepfan Taylor,PHI -  Ryan Mathews Darren Sproles Wendell Smallwood Kenjon Barner,CAR -  Fozzy Whittaker Jonathan Stewart Cameron Artis-Payne,  ,LA,38.2,NO -  Brandin Cooks Michael Thomas Willie Snead Brandon Coleman Tommylee Lewis Jake Lampman,NE -  Julian Edelman Chris Hogan Danny Amendola Malcolm Mitchell Matthew Slater,ATL -  Julio Jones Mohamed Sanu Taylor Gabriel Aldrick Robinson Justin Hardy Eric Weems,SEA -  Doug Baldwin Jermaine Kearse Tyler Lockett Paul Richardson Tanner McEvoy,  ,TEN,12.725,CHI -  Zach Miller Logan Paulsen Ben Braunecker,BYE,DEN -  Virgil Green Jeff Heuerman John Phillips,KC -  Travis Kelce Demetrius Harris Ross Travis James O'Shaughnessy,  ,SD,6.5,HOU -  Nick Novak,TB -  Roberto Aguayo,CAR -  Graham Gano,OAK -  Sebastian Janikowski,  
NO,50.5,LA -  Case Keenum,DET -  Matthew Stafford,TB -  Jameis Winston,ARI -  Carson Palmer Drew Stanton,  ,SD,29.375,HOU -  Lamar Miller Alfred Blue Jonathan Grimes Tyler Ervin,TB -  Jacquizz Rodgers Charles Sims Peyton Barber Doug Martin Antone Smith Alan Cross,CAR -  Fozzy Whittaker Jonathan Stewart Cameron Artis-Payne,OAK -  DeAndre Washington Latavius Murray Jalen Richard Taiwan Jones,  ,BUF,37.625,JAC -  Allen Hurns Marqise Lee Allen Robinson Arrelious Benn Rashad Greene Bryan Walters,OAK -  Amari Cooper Michael Crabtree Seth Roberts Andre Holmes Johnny Holton,PIT -  Antonio Brown Sammie Coates Eli Rogers Cobi Hamilton Darrius Heyward-Bey Markus Wheaton,CLE -  Terrelle Pryor Andrew Hawkins Corey Coleman Ricardo Louis Rashard Higgins Jordan Payton,  ,DAL,12.649999999999997,WAS -  Jordan Reed Vernon Davis Niles Paul,MIN -  Kyle Rudolph Rhett Ellison MyCole Pruitt,NYG -  Will Tye Larry Donnell Jerell Adams,TB -  Cameron Brate Brandon Myers,  ,OAK,6.375,CAR -  Graham Gano,BUF -  Dan Carpenter,KC -  Cairo Santos,SD -  Josh Lambo,  
